SCHEMA_VERSION=4
SessionNum,ReelIndex,StartTime,EndTime,DwellTime,TimePeriod,AvgScrollSpeed,MaxScrollSpeed,RollingMean,RollingStd,CumulativeReels,ScrollStreak,Liked,Commented,Shared,Saved,LikeLatency,CommentLatency,ShareLatency,SaveLatency,InteractionDwellRatio,ScrollDirection,BackScrollCount,ScrollPauseCount,ScrollPauseDurationMs,SwipeCompletionRatio,HasCaption,CaptionExpanded,HasAudio,IsAd,AdSkipLatencyMs,AppExitAttempts,ReturnLatencyS,NotificationsDismissed,NotificationsActedOn,ProfileVisits,ProfileVisitDurationS,HashtagTaps,AmbientLuxStart,AmbientLuxEnd,LuxDelta,IsScreenInDarkRoom,AccelVariance,MicroMovementRms,PostureShiftCount,IsStationary,DeviceOrientation,BatteryStart,BatteryDeltaPerSession,IsCharging,Headphones,AudioOutputType,PreviousApp,PreviousAppDurationS,PreviousAppCategory,DirectLaunch,TimeSinceLastSessionMin,DayOfWeek,IsHoliday,ScreenOnCount1hr,ScreenOnDuration1hr,NightMode,DND,SessionTriggeredByNotif,DwellTimeZscore,DwellTimePctile,DwellAcceleration,SessionDwellTrend,EarlyVsLateRatio,InteractionRate,InteractionBurstiness,LikeStreakLength,InteractionDropoff,SavedWithoutLike,CommentAbandoned,ScrollIntervalCV,ScrollBurstDuration,InterBurstRestDuration,ScrollRhythmEntropy,UniqueAudioCount,RepeatContentFlag,ContentRepeatRate,CircadianPhase,SleepProxyScore,EstimatedSleepDurationH,ConsistencyScore,IsWeekend,PostSessionRating,IntendedAction,ActualVsIntendedMatch,RegretScore,MoodBefore,MoodAfter,MoodDelta
10,1,2026-02-22 17:04:49,17:04:50,1.07,Evening,5.81,5.81,1.07,0.00,1,1,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.50,1,0,1,1,1065,1,0,0,0,0,0.00,0,42.9,44.3,1.4,1,0.0410,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,0.00,0.00,0.00,0.0000,1.00,0.00,0.00,0,0.00,0,0,1.3449,172,0,1.5850,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,2,2026-02-22 17:04:50,17:04:53,3.38,Evening,3.72,4.27,2.22,1.16,2,2,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,0,-1,1,0,0,0,0,0.00,0,44.3,29.3,-14.9,1,0.0182,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,1.00,50.00,2.32,2.3180,0.31,0.00,0.00,0,0.00,0,0,1.9092,550,0,2.2516,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,3,2026-02-22 17:04:53,17:04:55,1.26,Evening,6.17,7.04,1.90,1.05,3,3,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,0,-1,0,0,0,0,0,0.00,0,29.3,30.0,0.7,1,0.1088,0.0,0,1,2,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.61,33.33,-2.12,0.0980,0.84,0.00,0.00,0,0.00,0,0,2.3468,331,0,2.1972,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,4,2026-02-22 17:04:55,17:04:56,1.07,Evening,10.37,15.38,1.69,0.98,4,4,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,0,-1,0,0,0,0,0,0.00,0,30.0,32.1,2.1,1,0.0057,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.64,25.00,-0.19,-0.2107,1.91,0.00,0.00,0,0.00,0,0,2.6838,252,0,2.0546,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,5,2026-02-22 17:04:56,17:05:01,5.79,Evening,6.32,6.62,2.51,1.86,5,0,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,0,0,1,0,-1,1,0,0,0,0,0.00,0,32.1,25.2,-6.9,1,0.0945,0.0,0,1,2,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,1.76,80.00,4.72,0.7127,0.65,0.00,0.00,0,0.00,0,0,2.6390,317,0,2.1465,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,6,2026-02-22 17:05:01,17:05:02,1.00,Evening,4.63,5.95,2.50,1.87,6,1,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,1.00,1,0,1,0,-1,0,0,0,0,0,0.00,0,25.2,32.6,7.4,1,0.0250,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.71,0.00,-4.78,0.1913,0.73,0.00,0.00,0,0.00,0,0,2.9405,389,0,2.2459,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,7,2026-02-22 17:05:02,17:05:11,8.10,Evening,11.24,11.24,3.44,2.95,7,0,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.50,1,0,1,0,-1,0,0,0,0,0,0.00,0,32.6,22.6,-10.0,1,0.1705,0.0,0,1,2,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,1.90,85.71,7.10,0.7450,0.38,0.00,0.00,0,0.00,0,0,2.6710,478,0,2.3576,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,8,2026-02-22 17:05:11,17:05:18,7.29,Evening,3.16,3.16,4.65,3.04,8,0,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.50,1,0,1,0,-1,0,0,0,0,0,0.00,0,22.6,27.7,5.1,1,0.0050,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,1.30,75.00,-0.81,0.8462,0.31,0.00,0.00,0,0.00,0,0,2.4888,316,0,2.5247,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,9,2026-02-22 17:05:18,17:05:19,1.04,Evening,8.94,12.20,4.64,3.05,9,1,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,0,-1,0,0,0,0,0,0.00,0,27.7,18.5,-9.2,1,0.0458,0.0,0,1,2,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.83,11.11,-6.25,0.4201,0.39,0.00,0.00,0,0.00,0,0,2.6200,258,0,2.5553,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,10,2026-02-22 17:05:19,17:05:22,3.19,Evening,7.35,7.35,4.12,3.03,10,2,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.50,1,0,1,0,-1,0,0,0,0,0,0.00,0,18.5,28.0,9.5,1,0.0195,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.05,50.00,2.16,0.2978,0.61,0.00,0.00,0,0.00,0,0,2.5915,136,0,2.6338,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,11,2026-02-22 17:05:22,17:05:30,7.60,Evening,5.60,6.90,5.44,2.81,11,0,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,1,7597,0,0,0,0,0,0.00,0,28.0,28.1,0.1,1,0.0058,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,1.39,81.82,4.41,0.4179,0.46,0.00,0.00,0,0.00,0,0,2.4798,377,0,2.7069,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,12,2026-02-22 17:05:30,17:05:34,4.10,Evening,5.54,6.41,4.64,2.50,12,1,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,1,4104,1,0,0,0,0,0.00,0,28.1,27.9,-0.1,1,0.0729,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,0.14,58.33,-3.49,0.3367,0.43,0.00,0.00,0,0.00,0,0,2.4702,370,0,2.7678,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,13,2026-02-22 17:05:34,17:05:35,0.89,Evening,5.82,6.71,3.36,2.45,13,2,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.67,1,0,1,1,891,0,0,0,0,0,0.00,0,27.9,28.1,0.2,1,0.0082,0.0,0,1,1,59,0,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,-0.98,0.00,-3.21,0.1706,0.56,0.00,0.00,0,0.00,0,0,2.5599,203,0,2.7660,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
10,14,2026-02-22 17:05:35,17:05:49,14.07,Evening,6.37,6.37,5.97,4.59,14,0,0,0,0,0,-1,-1,-1,-1,0.0000,1,0,0,0,0.50,1,0,1,0,-1,1,0,0,0,0,0.00,0,28.1,30.0,1.9,1,0.0054,0.0,0,1,1,59,1,0,0,SPEAKER,unknown,0.00,other,0,0,1,1,0,0,1,0,0,2.61,92.86,13.17,0.4378,0.57,0.00,0.00,0,0.00,0,0,2.3669,360,0,2.8266,1,0,0.0,0.7111,0.00,0.0,1.00,1,0,,0,0,0,0,0
